Medicine Name,Use,Side Effects,Dosage
Tice,"Tice BCG Live is an attenuated, live culture preparation of the Bacillus of Calmette and Guerin (BCG) strain of Mycobacterium bovis bacteria used to treat bladder cancer that is localized (has not spread to other parts of the body). Tice BCG vaccine may be available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'chills,', 'aches,']",The dose for the intravesical treatment of carcinoma in situ and for the prophylaxis of recurrent papillary tumors consists of one vial of Tice BCG suspended in 50 ml preservative-free saline.
Bacitracin,Bacitracin for Injection is an antibiotic used intramuscularly (IM) for the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. Bacitracin for injection is available in generic form.,"['nausea, ', 'vomiting, ', 'injection site reactions (pain, burning, or swelling), ', 'skin rashes, and ', 'possible kidney problems. ', 'urinating more than usual or more often, ']","The infant dose of Bacitracin for injection for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. For infants over 2500 grams, the dose is 1,000 units/kg/24 hours, in 2 or 3 divided doses. In older children and adults, the dose will be determined by a physician."
Baciguent,Baciguent (bacitracin ointment) is an antibiotic used for the treatment of superficial ocular (eye) infections involving the conjunctiva and/or cornea caused by bacitracin susceptible organisms.,"['hives,', 'difficulty breathing, and', 'swelling of your face, lips, tongue, or throat', 'Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;', 'Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The usual dose of Baciguent ointment is application directly into the conjunctival sac 1 to 3 times daily. In blepharitis all scales and crusts should be carefully removed and the ointment then spread uniformly over the lid margins. Patients should be instructed to take appropriate measures to avoid gross contamination of the ointment when applying the ointment directly to the infected eye.
BACiiM,BACiiM (bacitracin injection) is an antibiotic used to treat infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. The use of BACiiM is limited to neonates/infants with pneumonia or empyema caused by susceptible strains of staphylococci when less toxic antibiotics would not be effective. BACiiM is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'diarrhea that is watery or bloody,', 'urinating more than usual,', 'frequent urination,']","The dose of BACiiM for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. The dose of BACiiM for infants over 2,500 grams is 1,000 units/kg/24 hours, in 2 or 3 divided doses."
Kemstro,"Kemstro (baclofen orally disintegrating tablets) is a muscle relaxant and antispastic used to alleviate signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. The brand name Kemstro is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe drowsiness,', 'weak or shallow breathing,', 'confusion,']",Start therapy with Kemstro at a low dosage and increase gradually until optimum effect is achieved (usually between 40-80 mg daily).
Baclofen,"Baclofen is a muscle relaxant and antispastic used for treating spasm of skeletal muscles, muscle clonus, rigidity, and pain caused by multiple sclerosis. Baclofen is also injected into the spinal cord to treat severe spasticity, spinal cord injuries, and other spinal cord diseases. Baclofen is available in generic form.","['mood changes,', 'confusion,', 'depression, and', 'hallucinations', 'drowsiness,', 'weakness,']",The recommended oral dose of baclofen is 15-80 mg daily. 
Lioresal Intrathecal,Lioresal-Intrathecal (baclofen) Injection is a muscle relaxant and antispastic used to treat stiff or rigid muscles (spasticity). Lioresal-Intrathecal is available in generic form.,"['sleepiness, ', 'drowsiness, ', 'dizziness, ', 'lightheadedness, ', 'nausea, ', 'vomiting, ']","What Drugs, Substances, or Supplements Interact with Lioresal Intrathecal?"
Gablofen,"Gablofen (baclofen) is a skeletal muscle relaxant used to treat severe spasticity, a very intense tightness of muscles that may cause pain and uncontrollable spasms of the arms, legs, hands, and feet. Gablofen is also used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients age 4 years and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'mental or mood changes,', 'confusion,', 'depression,']","Gablofen is administered by the intrathecal route, meaning it is administered via spinal catheter or lumbar puncture."
Baclofen Injection,"Baclofen Injection (Intrathecal) is a muscle relaxant and antispastic indicated for use in the management of severe spasticity. Patients should first respond to a screening dose of intrathecal baclofen prior to consideration for long term infusion via an implantable pump. For spasticity of spinal cord origin, chronic infusion of baclofen injection (intrathecal) via an implantable pump should be reserved for patients unresponsive to oral baclofen therapy, or those who experience intolerable CNS side effects at effective doses. Patients with spasticity due to traumatic brain injury should wait at least one year after the injury before consideration of long term intrathecal baclofen therapy. Baclofen injection (intrathecal) is intended for use by the intrathecal route in single bolus test doses (via spinal catheter or lumbar puncture) and, for chronic use, only in implantable pumps approved by the FDA specifically for the administration of baclofen injection (intrathecal) into the intrathecal space. Baclofen injection is available in generic form.","['low muscle tone', 'drowsiness', 'dizziness', 'numbness or tingling sensation', 'nausea', 'vomiting']","The screening trial employs baclofen injection (intrathecal) at a concentration of 50 mcg/mL. For adults with spasticity of spinal cord origin: After the first 24 hours, for adults, the daily dosage should be increased slowly by 10 to 30% increments and only once every 24 hours, until the desired clinical effect is achieved. For adults with spasticity of cerebral origin: After the first 24 hours, the daily dose should be increased slowly by 5 to 15% only once every 24 hours, until the desired clinical effect is achieved."
Lyvispah,"Lyvispah (baclofen) is a gamma-aminobutyric acid (GABA-ergic) agonist indicated for the treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Lyvispah may also be of some value in patient with spinal cord injuries and other spinal cord diseases. ","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'increased muscle stiffness,\xa0', 'itching,\xa0', 'numbness and tingling in your hands and feet,']","Lyvispah should be initiated with a low dosage, preferably in divided doses, administered orally. Increase gradually based on clinical response and tolerability. The maximum dosage of Lyvispah is 80 mg daily (20 mg four times a day)."
Ozobax,"Ozobax (baclofen) is a gamma-aminobutyric acid (GABA-ergic) agonist indicated for the treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Ozobax may also be of some value in patients with spinal cord injuries and other spinal cord diseases.","['drowsiness,', 'dizziness,', 'weakness,', 'nausea,', 'confusion,', 'low blood pressure (hypotension),']","Initiate Ozobax with a low dosage, preferably in divided doses, administered orally. Increase gradually based on clinical response and tolerability. The maximum dose of Ozobax is 80 mg daily (20 mg four times a day)."
Cinryze,Cinryze (c1 esterase inhibitor [human]) Freeze Dried Powder is a man-made form of a protein that occurs naturally in the bloodstream and helps control inflammation in the body and is used in people with hereditary angioedema. The Berinert brand of this medication is used to treat attacks of angioedema. The Cinryze brand is used to prevent attacks of angioedema.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']","A dose of 1,000 Units Cinryze can be administered every 3 or 4 days for routine prophylaxis against angioedema attacks in HAE patients."
Ruconest,Ruconest (C1 esterase inhibitor [recombinant]) Intravenous Injection is a C1 esterase inhibitor [recombinant] indicated for the treatment of acute attacks in adult and adolescent patients with hereditary angioedema (HAE).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']",The recommended dose of Ruconest is 50 IU per kg with a maximum of 4200 IU to be administered as a slow intravenous injection over approximately 5 minutes.
Haegarda,Haegarda (C1 Esterase Inhibitor Subcutaneous [Human]) is a plasma-derived concentrate of C1 Esterase Inhibitor (Human) (C1-INH) indicated for routine prophylaxis to prevent Hereditary Angioedema (HAE) attacks in adolescent and adult patients.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']",Administer a dose of 60 International Units per kg body weight of Haegarda twice weekly (every 3 or 4 days).
Ca-DTPA,"Ca-DTPA (pentetate calcium trisodium) is a chelating agent used to treat patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination.","['headache', 'lightheadedness', 'chest pain', 'allergic reaction', 'skin inflammation', 'metallic taste']",The initial dose of Ca-DTPA for adults and adolescents is a single 1.0 gram initial dose of Ca-DTPA administered intravenously. The pediatric dose (less than 12 years of age) is a single initial dose of 14 mg/kg administered intravenously not exceed 1.0 gram.
Jevtana,Jevtana (cabazitaxel) is a cancer (antineoplastic) medication used together with prednisone to treat prostate cancer that has spread to other parts of the body (metastatic). Jevtana is usually given after other cancer medicines have been tried without success.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'rash,', 'skin redness,', 'chest tightness,']",The individual dosage of Jevtana is based on calculation of the Body Surface Area (BSA) and is 25 mg/m2 administered as a one-hour intravenous infusion every three weeks in combination with oral prednisone 10 mg administered daily throughout treatment.
Cabenuva,"Cabenuva (cabotegravir extended-release injectable suspension; rilpivirine extended-release injectable suspension) is a 2-drug co-packaged product of a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) and an HIV-1 non-nucleoside reverse transcriptase inhibitor (NNRTI), indicated as a complete regimen for the treatment of HIV-1 infection in adults to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'tiredness,', 'body aches,']",The recommended dosing schedule: Initiate injections of Cabenuva (600 mg of cabotegravir and 900 mg of rilpivirine) on the last day of oral lead-in and continue with injections of Cabenuva (400 mg of cabotegravir and 600 mg of rilpivirine) every month thereafter.
Dostinex,Dostinex (cabergoline) is a dopamine receptor antagonist used to treat a hormone imbalance in which there is too much prolactin in the blood (also called hyperprolactinemia).,"['nausea, ', 'vomiting, ', 'stomach upset or pain, ', 'indigestion, ', 'constipation, ', 'gas, ']",
Cablivi,"Cablivi (caplacizumab-yhdp) is a von Willebrand factor (vWF)-directed antibody fragment indicated for the treatment of adult patients with acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasma exchange and immunosuppressive therapy.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'easy bruising,', 'unusual bleeding (nosebleeds, bleeding gums),', 'unusual vaginal bleeding,']",The recommended dose of Cablivi is as follows: First day of treatment: 11 mg bolus intravenous injection at least 15 minutes prior to plasma exchange followed by an 11 mg subcutaneous injection after completion of plasma exchange on day 1. Subsequent treatment during daily plasma exchange: 11 mg subcutaneous injection once daily following plasma exchange. Treatment after the plasma exchange period: 11 mg subcutaneous injection once daily for 30 days beyond the last plasma exchange.
Cabometyx,Cabometyx (cabozantinib) Tablets is a kinase inhibitor indicated for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging feeling when you eat or drink,', 'vomiting,']","The recommended daily dose of Cabometyx is 60 mg. Do not take Cabometyx with food. 

"
Apretude,Apretude (cabotegravir extended-release injectable suspension) is an HIV-1 integrase strand transfer inhibitor (INSTI) indicated in at-risk adults and adolescents weighing at least 35 kg for PrEP to reduce the risk of sexually acquired HIV-1 infection. Individuals must have a negative HIV-1 test prior to initiating APRETUDE (with or without an oral lead-in with oral cabotegravir) for HIV-1 PrEP.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'extreme tiredness,\xa0', 'fever,\xa0', 'feeling unwell,\xa0']","All individuals should be screened for HIV-1 infection immediately prior to initiating Apretude for HIV-1 PrEP and prior to each injection while taking Apretude. Prior to initiating Apretude, an oral lead-in dosing may be used for approximately 1 month with the recommended dosage to assess the tolerability of Apretude. The recommended dosing schedule of Apretude is initiated with a single 600-mg (3-mL) injection given 1 month apart for 2 consecutive months on the last day of an oral lead-in if used or within 3 days and continue with the injections every 2 months thereafter."
Vocabria,"Vocabria (cabotegravir) is a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) indicated in combination with Edurant (rilpivirine) for short-term treatment of HIV-1 infection in adults who are virologically suppressed (HIV-1 RNA less than 50 copies/mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine, for use as oral lead-in to assess the tolerability of cabotegravir prior to administration of Cabenuva (cabotegravir; rilpivirine) extended-release injectable suspensions and for use as oral therapy for patients who will miss planned injection dosing with Cabenuva. ","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe dizziness,', 'extreme tiredness,\xa0', 'fever,\xa0']",The dose of Vocabria is one 30 mg tablet taken orally once daily for approximately 1 month in combination with one tablet of Edurant (rilpivirine) 25 mg taken orally once daily with a meal.
Cabenuva,"Cabenuva (cabotegravir extended-release injectable suspension; rilpivirine extended-release injectable suspension) is a 2-drug co-packaged product of a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) and an HIV-1 non-nucleoside reverse transcriptase inhibitor (NNRTI), indicated as a complete regimen for the treatment of HIV-1 infection in adults to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'tiredness,', 'body aches,']",The recommended dosing schedule: Initiate injections of Cabenuva (600 mg of cabotegravir and 900 mg of rilpivirine) on the last day of oral lead-in and continue with injections of Cabenuva (400 mg of cabotegravir and 600 mg of rilpivirine) every month thereafter.
Cometriq,Cometriq (cabozantinib) capsules are kinase inhibitors used to treat people with medullary thyroid cancer (MTC) that has spread to other parts of the body.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging when you eat or drink,', 'severe headache,']","The recommended dose of Cometriq is 140 mg taken orally, once daily. Cometriq should not be taken with food, and patients should not eat for at least two hours before or one hour after taking Cometriq."
Cabometyx,Cabometyx (cabozantinib) Tablets is a kinase inhibitor indicated for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging feeling when you eat or drink,', 'vomiting,']","The recommended daily dose of Cabometyx is 60 mg. Do not take Cabometyx with food. 

"
Caduet,Caduet (amlodipine besylate and atorvastatin calcium) is a combination of a calcium channel blocker and a statin drug used to treat high blood pressure (hypertension) or chest pain (angina) that occurs with high cholesterol or triglyceride levels. Common side effects of Caduet include dizziness or lightheadedness as your body adjusts to the medication.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe dizziness,', 'muscle pain,', 'tenderness,']","Dosage of Caduet is individualized on the basis of both effectiveness and 
tolerance for each individual component in the treatment of hypertension/angina 
and
hyperlipidemia."
Caelyx,"Caelyx (pegylated liposomal doxorubicin hydrochloride for injection) is an anthracycline topoisomerase II inhibitor indicated for monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk associated with conventional doxorubicin; advanced ovarian carcinoma in women who have failed standard first-line therapy; AIDS-related Kaposi's sarcoma (KS) in patients with low CD4 counts (less than 200 CD4 lymphocytes/mm3) and extensive mucocutaneous or visceral disease whose disease has progressed despite therapy or who are intolerant to prior systemic combination chemotherapy comprising of at least two of the following agents: a vinca alkaloid, bleomycin and doxorubicin (or another anthracycline). Caelyx is a Canadian brand name for liposomal doxorubicin hydrochloride. A brand name for liposomal doxorubicin hydrochloride in the U.S. is Doxil.","['redness,', 'swelling,', 'numbness, and', 'skin peeling on palms of the hands and soles of the feet (palmar-plantar erythrodysesthesia, or PPE);', 'nausea, ', 'inflammation of the mucus membranes of the nose, ']","The dose of Caelyx for breast or ovarian cancer is 50 mg/m2 body surface administered intravenously, once every 4 weeks for as long as the disease does not progress, and the patient shows no evidence of clinical cardiotoxicity and continues to tolerate treatment."
Cafcit,Cafcit (caffeine citrate) is a central nervous system stimulant used to treat breathing problems in premature infants. Cafcit is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'feeding problems,', 'loss of appetite,', 'vomiting,']",Cafcit may cause serious side effects including:
Cafergot,Cafergot (ergotamine tartrate and caffeine) is a combination of an ergot alkaloid and a stimulant used to treat a migraine type headache. Cafergot will only treat a headache that has already begun. Cafergot will not prevent migraine headaches or reduce the number of attacks. Cafergot should not be used to treat common tension headaches or any headache that seems to be different from your usual migraine headaches. Cafergot may be available in generic form.,"['nausea,', 'vomiting,', 'upset stomach,', 'restlessness, ', 'trouble sleeping, ', 'dizziness, ']","Dosage of Cafergot should start at the first sign of an attack. Adult dose is 2 tablets at the start of an attack; 1 additional tablet every 1/2 hour, if needed for full relief (maximum 6 tablets per attack, 10 per week)."
Caffeine and Sodium Benzoate," Caffeine and Sodium Benzoate Injection (caffeine alkaloid) is used along with supportive measure to treat respiratory depression associated with over dosage with CNS depressant drugs, such as narcotics. However, because of questionable benefit and transient action, most authorities believe caffeine and other analeptics should not be used in these conditions and recommend other supportive therapy. Caffeine and Sodium Benzoate Injection is available in generic form.","['headache', 'excitement', 'agitation', 'restlessness', 'irritability', 'anxiety']","Recommended doses of caffeine and sodium benzoate injection vary from 65-325 mg 3 times daily, to 250 mg of anhydrous caffeine in an extended-release formulation once daily. Your doctor will determine the appropriate dose."
Caffeine and Sodium Benzoate," Caffeine and Sodium Benzoate Injection (caffeine alkaloid) is used along with supportive measure to treat respiratory depression associated with over dosage with CNS depressant drugs, such as narcotics. However, because of questionable benefit and transient action, most authorities believe caffeine and other analeptics should not be used in these conditions and recommend other supportive therapy. Caffeine and Sodium Benzoate Injection is available in generic form.","['headache', 'excitement', 'agitation', 'restlessness', 'irritability', 'anxiety']","Recommended doses of caffeine and sodium benzoate injection vary from 65-325 mg 3 times daily, to 250 mg of anhydrous caffeine in an extended-release formulation once daily. Your doctor will determine the appropriate dose."
Cafcit,Cafcit (caffeine citrate) is a central nervous system stimulant used to treat breathing problems in premature infants. Cafcit is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'feeding problems,', 'loss of appetite,', 'vomiting,']",Cafcit may cause serious side effects including:
Calan,"Calan (verapamil hydrochloride) is a calcium channel blocker used to treat hypertension (high blood pressure), angina (chest pain), and certain heart rhythm disorders. Calan is available in generic form.","['dizziness, ', 'slow heartbeat, ', 'constipation, ', 'nausea, ', 'headache, ', 'tiredness, ']",The usual dose of Calan to treat angina is 80 mg to 120 mg three times a day. The dosage to treat arrhythmias ranges from 240 to 480 mg/day divided into three or four daily doses. The usual initial dosage to treat hypertension is 80 mg three times a day (240 mg/day).
Calan SR,,"['constipation,', 'dizziness,', 'lightheadedness,', 'nausea, ', 'low blood pressure (hypotension),', 'headache,']","The initial dose of Calan SR is 180 mg, given in the morning."
Asparlas,Asparlas (calaspargase pegol - mknl) is an asparagine specific enzyme indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukemia in pediatric and young adult patients age 1 month to 21 years.,"['elevated transaminase,', 'bilirubin increased,', 'pancreatitis,', 'abnormal clotting studies,', 'diarrhea,', 'hypersensitivity,']","The recommended dosage of Asparlas is 2,500 units/m2 intravenously no more frequently than every 21 days."
Rayaldee,Rayaldee (calcifediol) extended-release capsules is a vitamin D3 analog indicated for the treatment of secondary hyperparathyroidism in adults with stage 3 or 4 chronic kidney disease and serum total 25-hydroxyvitamin D levels less than 30 ng/mL.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'shortness of breath,', 'swelling,', 'rapid weight gain,']","
hives,
difficulty breathing,
swelling of your face, lips, tongue, or throat,
shortness of breath,
swelling,
rapid weight gain,
confusion,
tiredness,
nausea,
vomiting,
loss of appetite,
constipation,
increased thirst or urination,
weight loss,
pale skin,
unusual tiredness,
lightheadedness, and
cold hands and feet
"
Calciferol,"Calciferol (ergocalciferol) is vitamin D2 used to treat hypoparathyroidism (decreased functioning of the parathyroid glands), and is also used to treat rickets (softening of the bones caused by vitamin D deficiency) or low levels of phosphate in the blood (hypophosphatemia). Calciferol is available in generic form. 
","['thinking problems, ', 'changes in behavior, ', 'irritability, ', 'urinating more than usual, ', 'chest pain, ', 'shortness of breath, or ']","To treat Vitamin D resistant rickets the dose of Calciferol is 12,000 to 500,000 USP units daily. To treat hypoparathyroidism, the dose is 50,000 to 200,000 USP units daily taken with calcium lactate 4 g, six times per day. The range between therapeutic and toxic doses is narrow. Dosage must be individualized under close medical supervision."
Calcijex,"Calcijex (calcitriol injection) is a man-made form of vitamin D3 used to treat or prevent low calcium levels in patients undergoing long-term kidney dialysis. Calcijex is usually used along with diet, supplements, and sometimes other medications. Calcijex is available in generic form.",[],The optimal dose of Calcijex is individually determined for each patient.
Taclonex,Taclonex (calcipotriene and betamethasone dipropionate) Ointment is a combination of a form of vitamin D and a topical (for the skin) corticosteroid used to treat psoriasis vulgaris.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'worsening of your skin condition,', 'redness, warmth, swelling, oozing, or severe irritation of any treated skin,', 'blurred vision,']",Apply an adequate layer of Taclonex Ointment to the affected area(s) once daily for up to 4 weeks. Rub in gently and completely. The maximum weekly dose should not exceed 100 g.
Wynzora,Wynzora (calcipotriene and betamethasone dipropionate cream) is a combination of a vitamin D analog and a corticosteroid used for the topical treatment of plaque psoriasis in patients 18 years of age and older.,"['upper respiratory infection,', 'headache, and', 'application site irritation', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheartedness, or passing out;', 'Severe headache, confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The dose of Wynzora Cream is to apply to affected areas once daily for up to 8 weeks. Do not use more than 100 g per week.
Enstilar,"Enstilar (calcipotriene and betamethasone dipropionate) Foam, 0.005%/0.064%, is a combination a vitamin D analog and a corticosteroid, indicated for the topical treatment of plaque psoriasis in patients 18 years of age and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'skin thinning,', 'skin discoloration,', 'stretch marks,']",Apply a dose of Enstilar Foam to affected area(s) once daily for up to 4 weeks.
Taclonex Scalp,Taclonex Topical Suspension (calcipotriene and betamethasone dipropionate) is a combination of a synthetic form of Vitamin D3 and a topical corticosteroid used to treat psoriasis vulgaris. Taclonex Topical Suspension is available in generic form.,"['confusion,', 'tiredness,', 'nausea,', 'vomiting,', 'loss of appetite,', 'constipation,']",Apply Taclonex Topical Suspension to affected areas once daily for up to 8 weeks. Do not exceed a maximum weekly dose of 100 g.
Dovonex Cream,Dovonex (calcipotriene) Cream is a vitamin B3 derivative indicated for the treatment of plaque psoriasis.,"['skin irritation, ', 'rash or itching, ', 'skin redness, ', 'dry or peeling skin, and ', 'worsening psoriasis. ', 'skin thinning or discoloration, ']",Dovonex Cream contains 50 micrograms of calcipotriene monohydrate per gram of cream. Apply a thin layer of Dovonex Cream to the affected skin twice daily and rub in gently and completely.
Sorilux,"Sorilux (calcipotriene) Foam, 0.005% is a manmade form of vitamin D3 used for the topical treatment of plaque psoriasis in patients aged 18 years and older.","['skin redness', 'irritation', 'swelling', 'rash, and ', 'itching in the treated area']",Apply a thin layer dose of Sorilux Foam twice daily to the affected areas and rub in gently and completely.
Dovonex Ointment,Dovonex (calcipotriene) is a synthetic topical (for the skin) form of vitamin D used to treat plaque psoriasis (psoriasis with scaly patches). Dovonex is available in generic form.,"['burning, ', 'itching, ', 'rash, ', 'irritation, ', 'redness, ', 'dry skin, or ']","Apply a thin layer of Dovonex ointment in a once or twice daily dose and rub in gently and completely. Avoid using harsh, abrasive, or irritating cleansers, perfumes, or cosmetics on the area you are treating."
Dovonex Scalp,"Dovonex (calcipotriene solution) Scalp Solution, 0.005% is a synthetic topical form of vitamin D used to treat plaque psoriasis (psoriasis with scaly patches). Dovonex Scalp is available in generic form.","['burning', 'stinging', 'tingling', 'rash', 'dry skin', 'redness']","Comb the hair to remove scaly debris and after suitably parting, apply a dose of Dovonex Scalp Solution, 0.005%, twice daily, only to the lesions, and rub in gently and completely, taking care to prevent the solution spreading onto the forehead."
Miacalcin,"Miacalcin (calcitonin-salmon) is a man-made form of a hormone that occurs naturally in the thyroid gland used to treat Paget's disease of bone, postmenopausal osteoporosis, or high levels of calcium in the blood (hypercalcemia).","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'lightheadedness,', 'muscle spasms or contractions, and', 'numbness or tingly feeling (around your mouth, or in your fingers and toes)']","The recommended dose of Miacalcin Nasal Spray in postmenopausal osteoporotic females is one spray (200 I.U.) per day administered intranasally (in the nose), alternating nostrils daily."
Fortical,Fortical (calcitonin-salmon rDNA origin) Nasal Spray is a manmade form of a hormone secreted by the thyroid gland used to treat brittle bone disease (osteoporosis) in women who are at least 5 years past menopause.,"['\xa0runny or stuffy nose', 'nosebleeds', 'nasal irritation or discomfort', 'dry nose with crusting/scabs/sores', 'nasal itching or tenderness', 'redness in or around the nose']","The recommended dose of Fortical Nasal Spray in postmenopausal osteoporotic patients is 1 spray (200 International Units) per day administered intranasally, alternating nostrils daily."
Rocaltrol,Rocaltrol (calcitriol) is a synthetic version of Vitamin D3 used to treat calcium deficiency with hypoparathyroidism (decreased functioning of the parathyroid glands) and metabolic bone disease in people with chronic kidney failure.,"['increased thirst, ', 'urinating more than usual or changes in the amount of urine, ', 'lower back pain, ', 'heart rate changes (fast, slow, or uneven), ', 'headache, ', 'drowsiness, ']","Rocaltrol is dosed for each individual patient, and may be given in either capsule or oral solution form."
Vectical,"Vectical (calcitriol ointment) topical (for the skin) is a form of Vitamin D used to treat plaque psoriasis (raised, silvery flaking of the skin) in adults.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'blistering, or severe redness, itching, or other irritation of treated areas,', 'worsening symptoms or no improvement in psoriasis,', 'nausea,']","Apply Vectical Ointment to affected areas twice daily, morning and evening. The maximum weekly dose should not exceed 200 grams."
Calcijex,"Calcijex (calcitriol injection) is a man-made form of vitamin D3 used to treat or prevent low calcium levels in patients undergoing long-term kidney dialysis. Calcijex is usually used along with diet, supplements, and sometimes other medications. Calcijex is available in generic form.",[],The optimal dose of Calcijex is individually determined for each patient.
Phoslyra,Phoslyra (calcium acetate oral solution) is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'nausea,', 'vomiting,', 'constipation,']",The dose of Phoslyra Oral Solution is 667 mg calcium acetate per 5 mL.
DHE 45,"D.H.E. 45 (dihydroergotamine mesylate) is an ergot alkaloid used to treat a migraine or cluster headache attack. D.H.E. 45 will only treat a headache that has already begun and will not prevent headaches or reduce the number of attacks. D.H.E. 45 is available in 
generic form.",[],"D.H.E. 45 Injection is administered in a dose of 1 mL intravenously, intramuscularly or subcutaneously. The total weekly dosage should not exceed 6 mL."
